Date,Employment,Realdomesticdemand,Nominaldomesticdemand
1/03/2016,100,100,100
1/06/2016,100.2,100.7,100.8
1/09/2016,100.3,101,101.4
1/12/2016,100.6,101.7,102.2
1/03/2017,101.2,102.7,104.4
1/06/2017,102.3,102.9,104.8
1/09/2017,103.2,104.3,106.3
1/12/2017,103.8,105.2,107.6
1/03/2018,104.5,106.2,109.1
1/06/2018,105.1,106.8,110.4
1/09/2018,105.7,106.8,111.1
1/12/2018,106.2,107,111.6
1/03/2019,106.8,107.3,112.7
1/06/2019,107.7,107.2,112.9
1/09/2019,108.4,107.9,113.9
1/12/2019,108.3,108.2,115.2
1/03/2020,108.7,107.8,115.2
1/06/2020,103.1,98.8,105.1
1/09/2020,105.4,105.2,111.9
1/12/2020,107.1,108.5,116.2
1/03/2021,108.5,111.6,119.4
1/06/2021,109.6,113.4,122.3
1/09/2021,109.2,110.3,119.9
1/12/2021,109.8,114.9,126.5
1/03/2022,112.1,118,132.3
1/06/2022,113.6,117.8,134.5
1/09/2022,115,119.2,138.5
1/12/2022,115.7,118.7,139.8
1/03/2023,116,119.7,142.8
1/06/2023,117.3,119.2,142.9
1/09/2023,117.5,119.4,144.4
1/12/2023,117.6,119.7,146
1/03/2024,117.7,120,147.5
1/06/2024,117.9,120.4,149.1
1/09/2024,118.1,120.8,150.6
1/12/2024,118.3,121.2,152.2
1/03/2025,118.5,121.6,153.8
1/06/2025,118.8,122,155.4
1/09/2025,119.2,122.5,157
1/12/2025,119.6,123,158.6
