quarter,Australia,Euro area,United Kingdom,Japan,United States,OECD
Q4 2019,100,100,100,100,100,100
Q1 2020,99.77417364,96.6073845,97.27847007,100.3912002,98.63713522,98.28165215
Q2 2020,93.11150208,85.74435229,77.50904413,92.53619495,90.85365877,88.36401038
Q3 2020,96.6084809,96.07139515,90.51137448,97.72912565,97.9031972,96.7037587
Q4 2020,99.8240623,96.01030881,91.73948625,99.58913588,98.91671497,97.81357091
Q1 2021,101.9452176,96.43402734,90.7998595,99.2741707,100.18831,98.67976174
Q2 2021,102.6421198,98.45284946,97.45355801,99.78471211,101.7109183,100.3979879
Q3 2021,100.5342941,100.4688401,99.12545176,99.39525521,102.5392237,101.6241062
Q4 2021,104.4258783,100.9751277,100.6322422,100.4936733,104.2790809,103.0435834
Q1 2022,105.0841004,101.7068692,101.1608937,99.93798676,103.7601054,103.235894
Q2 2022,105.8509542,102.5227004,101.2511121,101.2373249,103.6135212,103.7363157
Q3 2022,106.5678518,102.8799511,101.1644596,100.9463108,104.2959392,104.204164
Q4 2022,107.2626526,102.8425699,101.2997873,101.0018719,104.9586589,104.4465638
Q1 2023,107.661987,102.882067,101.624645,101.8097792,105.5426286,104.9051901
Q2 2023,108.0449315,103.0279837,101.8154231,103.0012004,106.0820803,105.3936065
